t_sec,no_corr_abs_wz,imu_abs_wz,flow_abs_wz
3.430603,0.09218326,0.05141846,0.03490288
3.455644,0.09264958,0.04715028,0.03580819
3.480685,0.10490017,0.04465160,0.03501272
3.505726,0.10771581,0.04479500,0.03384247
3.530766,0.10941768,0.04913028,0.03532636
3.555807,0.10855729,0.05356410,0.03762497
3.580848,0.09922954,0.05130390,0.03618098
3.605889,0.08487339,0.04726122,0.03473471
3.630930,0.06994786,0.05375719,0.03812987
3.655971,0.05870035,0.06020053,0.04458145
3.681012,0.05913204,0.06198072,0.04957099
3.706053,0.06356017,0.06019461,0.05435162
3.731094,0.06842334,0.05845715,0.05645103
3.756135,0.06940379,0.05672350,0.05633098
3.781175,0.05846051,0.06050493,0.05717632
3.806216,0.05822944,0.06486410,0.05802159
3.831257,0.05654227,0.05902116,0.05734699
3.856298,0.05538266,0.05319757,0.05554374
3.881339,0.06105996,0.05023352,0.05351386
3.906380,0.06564004,0.04781956,0.05225666
3.931421,0.07226663,0.04120829,0.05054546
3.956462,0.07707550,0.03397673,0.04879374
3.981503,0.07225378,0.02830645,0.04814158
4.006544,0.06742122,0.02470890,0.04621880
4.031584,0.06421566,0.02427634,0.04347013
4.056625,0.06171998,0.02615447,0.04092890
4.081666,0.05810799,0.02833013,0.04043974
4.106707,0.05380158,0.03303687,0.03988090
4.131748,0.06017963,0.04433228,0.04013145
4.156789,0.07273743,0.04567007,0.04090239
4.181830,0.08303659,0.04792908,0.04167343
4.206871,0.07899727,0.05120935,0.03791840
4.231912,0.07372799,0.05448334,0.03518940
4.256952,0.07069962,0.05339505,0.03326620
4.281993,0.07415905,0.05416676,0.03134646
4.307034,0.07822475,0.05625922,0.03456412
4.332075,0.08058928,0.05835105,0.03610565
4.357116,0.08187079,0.05975106,0.03647607
4.382157,0.08315527,0.05565834,0.03684818
4.407198,0.08398624,0.04824235,0.03975165
4.432239,0.07435231,0.04082384,0.03930121
4.457280,0.05834640,0.04436247,0.03673858
4.482321,0.04227309,0.04538805,0.03422925
4.507361,0.04580479,0.04465661,0.04125752
4.532402,0.04807540,0.04393013,0.04525692
4.557443,0.05386153,0.04422491,0.04718090
4.582484,0.07077162,0.04327099,0.04910520
4.607525,0.07663538,0.04173814,0.04622032
4.632566,0.08208297,0.04063366,0.04780746
4.657607,0.08627067,0.03889641,0.05195816
4.682648,0.08753408,0.03652755,0.05611221
4.707689,0.08713592,0.03531703,0.05670253
4.732730,0.08877791,0.03744942,0.05915754
4.757770,0.09081275,0.04043985,0.06265748
4.782811,0.09112391,0.04422610,0.06615814
4.807852,0.10171676,0.04620937,0.06258048
4.832893,0.11254574,0.04337469,0.06059245
4.857934,0.11583579,0.04352998,0.05966946
4.882975,0.10290653,0.04593544,0.05916609
4.908016,0.10013633,0.04958129,0.05979182
4.933057,0.09695404,0.05338257,0.05943889
4.958098,0.09545695,0.05681726,0.05847958
4.983138,0.09813119,0.06116140,0.05729420
