t_sec,imu_wz_rad_s,pwm_l_pct,pwm_r_pct,cl,cr,imu_corr,yaw_filt_rad_s
6.433204,-0.14309557,,,,,,
6.466595,0.04969001,,,,,,
6.499908,0.04969001,,,,,,
6.533252,0.01438375,,,,,,
6.566486,-0.04477070,,,,,,
6.599891,-0.04477070,,,,,,
6.633216,-0.08434080,,,,,,
6.666563,0.05115609,,,,,,
6.699937,0.05115609,,,,,,
6.733224,0.00132694,,,,,,
6.766566,0.03037096,,,,,,
6.799915,0.03037096,,,,,,
6.833233,0.03383544,,,,,,
6.867118,0.07766764,,,,,,
6.899885,0.07766764,,,,,,
6.933303,0.00265863,,,,,,
6.966583,0.00265863,,,,,,
7.000002,0.01211831,,,,,,
7.033198,-0.02611836,,,,,,
7.066631,-0.02611836,,,,,,
7.099918,0.00519110,,,,,,
7.133246,-0.03317997,,,,,,
7.166552,-0.03317997,,,,,,
7.199917,0.02064599,,,,,,
7.233212,0.00812151,,,,,,
7.266578,0.00812151,,,,,,
7.299910,-0.06435678,,,,,,
7.333274,-0.00080411,,,,,,
7.366593,-0.00080411,,,,,,
7.399889,-0.00680106,,,,,,
7.433233,-0.00560202,,,,,,
7.466578,-0.00560202,,,,,,
7.499889,0.03556681,,,,,,
7.533491,0.03556681,,,,,,
7.566567,-0.00653402,,,,,,
7.599933,0.07806732,,,,,,
7.633248,0.07806732,,,,,,
7.666542,0.04089704,,,,,,
7.699967,-0.02931581,,,,,,
7.733231,-0.02931581,,,,,,
7.766560,0.12349999,,,,,,
7.799913,-0.02625275,,,,,,
7.833231,-0.02625275,,,,,,
7.866999,0.07820171,,,,,,
7.899920,0.02690648,,,,,,
7.933229,0.02690648,,,,,,
7.966550,-0.02745180,,,,,,
8.000171,0.08193148,,,,,,
8.033296,0.08193148,,,,,,
8.066560,0.03556681,,,,,,
8.099904,0.10404829,,,,,,
8.133306,0.10404829,,,,,,
8.166550,0.05675161,,,,,,
8.199914,-0.00613434,,,,,,
8.233274,-0.00613434,,,,,,
8.266972,0.12030254,,,,,,
8.300013,0.01211831,,,,,,
8.334072,0.01211831,,,,,,
8.366639,0.02397608,,,,,,
8.399900,0.02397608,,,,,,
8.433237,0.01744855,,,,,,
8.466550,-0.00107114,,,,,,
8.500063,-0.00107114,,,,,,
8.533263,-0.03064924,,,,,,
8.566551,-0.14735941,,,,,,
8.599926,-0.14735941,,,,,,
8.633227,-0.02065723,,,,,,
8.666542,0.06314650,,,,,,
8.699904,0.06314650,,,,,,
8.733249,-0.00147082,,,,,,
8.766578,-0.02611836,,,,,,
8.799888,-0.02611836,,,,,,
8.833240,-0.04703613,,,,,,
8.866916,-0.05849422,,,,,,
8.900032,-0.05849422,,,,,,
8.933264,-0.06861888,,,,,,
8.966490,0.05435353,,,,,,
8.999900,0.05435353,,,,,,
9.033238,0.00559078,,,,,,
9.066614,0.00559078,,,,,,
9.099984,-0.01292891,,,,,,
9.133242,-0.02598572,,,,,,
9.166578,-0.02598572,,,,,,
9.199909,-0.08407377,,,,,,
9.233221,-0.10472450,,,,,,
9.266555,-0.10472450,,,,,,
9.299905,-0.02039019,,,,,,
9.333203,0.00798886,,,,,,
9.366547,0.00798886,,,,,,
9.399918,-0.00866507,,,,,,
9.433188,-0.07541519,,,,,,
9.466538,-0.07541519,,,,,,
9.499937,-0.05502974,,,,,,
9.533222,0.25153560,,,,,,
9.566573,0.25153560,,,,,,
9.599947,-0.06462207,,,,,,
9.633253,-0.06462207,,,,,,
9.666565,0.01451639,,,,,,
9.699912,-0.05316399,,,,,,
9.733181,-0.05316399,,,,,,
9.766556,0.02757320,,,,,,
9.799916,0.00185926,,,,,,
9.833245,0.00185926,,,,,,
9.866577,-0.00133818,,,,,,
9.899923,0.00132694,,,,,,
9.933226,0.00132694,,,,,,
9.966576,0.00132694,,,,,,
9.999937,0.00079461,,,,,,
10.033227,0.00079461,,,,,,
10.066567,-0.00067146,,,,,,
10.099889,-0.00013914,,,,,,
10.133253,-0.00013914,,,,,,
10.166586,0.00145958,,,,,,
10.199983,-0.00093850,,,,,,
10.233229,-0.00093850,,,,,,
10.266570,0.00066022,,,,,,
10.299916,-0.00093850,,,,,,
10.333294,-0.00093850,,,,,,
10.366560,-0.00053882,,,,,,
10.401935,-0.00053882,,,,,,
10.433244,-0.00067146,,,,,,
10.466569,0.00132694,,,,,,
10.499967,0.00132694,,,,,,
10.533227,-0.00346923,,,,,,
10.566573,0.00359238,,,,,,
10.599916,0.00359238,,,,,,
10.633243,-0.00346923,,,,,,
10.666559,0.00425735,,,,,,
10.699882,0.00425735,,,,,,
10.733225,-0.00386891,,,,,,
10.766538,0.00332534,,,,,,
10.799989,0.00332534,,,,,,
10.833231,-0.00280426,,,,,,
10.866518,0.00199365,,,,,,
10.899932,0.00199365,,,,,,
10.933228,-0.00266987,,,,,,
10.966544,0.00359238,,,,,,
10.999902,0.00359238,,,,,,
11.033251,-0.00280426,,,,,,
11.066513,0.00199365,,,,,,
11.099914,0.00199365,,,,,,
11.133236,-0.00160521,,,,,,
11.166559,-0.00160521,,,,,,
11.199895,0.00092726,,,,,,
11.233216,-0.00346923,,,,,,
11.266549,-0.00346923,,,,,,
11.300070,0.00319270,,,,,,
