t_sec,imu_wz_rad_s,pwm_l_pct,pwm_r_pct,cl,cr,imu_corr,yaw_filt_rad_s
6.433225,0.10256637,,,,,,
6.466554,0.01383383,,,,,,
6.499928,0.01383383,,,,,,
6.533241,0.08471339,,,,,,
6.566545,0.04434393,,,,,,
6.600050,0.04434393,,,,,,
6.633212,0.00131109,,,,,,
6.666495,0.03208648,,,,,,
6.699929,0.03208648,,,,,,
6.733264,-0.05424623,,,,,,
6.766510,-0.01374412,,,,,,
6.799831,-0.01374412,,,,,,
6.833229,-0.06383856,,,,,,
6.866539,-0.06383856,,,,,,
6.899895,-0.14550950,,,,,,
6.933288,0.00104406,,,,,,
6.966555,0.00104406,,,,,,
6.999937,-0.07356528,,,,,,
7.033237,0.04101384,,,,,,
7.066644,0.04101384,,,,,,
7.099928,-0.04865070,,,,,,
7.133234,0.00570758,,,,,,
7.166579,0.00570758,,,,,,
7.199907,-0.03466189,,,,,,
7.233206,-0.01560988,,,,,,
7.266542,-0.01560988,,,,,,
7.299862,-0.07103281,,,,,,
7.333206,-0.07103281,,,,,,
7.366550,-0.07782912,,,,,,
7.399931,-0.00921499,,,,,,
7.433232,-0.00921499,,,,,,
7.466552,-0.03319581,,,,,,
7.499863,-0.00202074,,,,,,
7.533229,-0.00202074,,,,,,
7.566571,-0.01014700,,,,,,
7.599889,-0.06983376,,,,,,
7.633224,-0.06983376,,,,,,
7.667859,0.03235352,,,,,,
7.700274,0.03235352,,,,,,
7.733233,-0.03626061,,,,,,
7.766720,-0.01374412,,,,,,
7.801628,-0.01374412,,,,,,
7.833266,0.04301224,,,,,,
7.867263,0.04647672,,,,,,
7.899897,0.04647672,,,,,,
7.933231,-0.01067932,,,,,,
7.966963,-0.01067932,,,,,,
7.999897,0.04767576,,,,,,
8.033245,-0.00881531,,,,,,
8.066658,-0.00881531,,,,,,
8.099914,0.03328552,,,,,,
8.133242,0.08990924,,,,,,
8.166786,0.08990924,,,,,,
8.199909,0.10376541,,,,,,
8.233203,0.00530790,,,,,,
