t_sec,imu_wz_rad_s,pwm_l_pct,pwm_r_pct,cl,cr,imu_corr,yaw_filt_rad_s
6.200003,0.01416544,,,,,,
6.233269,0.01416544,,,,,,
6.266587,-0.15397260,,,,,,
6.299932,0.08118085,,,,,,
6.333282,0.08118085,,,,,,
6.366593,-0.07110262,,,,,,
6.399863,0.02508946,,,,,,
6.433285,0.02508946,,,,,,
6.466615,-0.08309303,,,,,,
6.500018,-0.08309303,,,,,,
6.533283,-0.04219124,,,,,,
6.566640,-0.04845348,,,,,,
6.599964,-0.04845348,,,,,,
6.633302,-0.07403477,,,,,,
6.666619,-0.05991157,,,,,,
6.699956,-0.05991157,,,,,,
6.733263,-0.12013241,,,,,,
6.766618,0.20148814,,,,,,
6.799933,0.20148814,,,,,,
6.833289,-0.06590677,,,,,,
6.866589,0.01309905,,,,,,
6.899946,0.01309905,,,,,,
6.933279,-0.22072097,,,,,,
6.966563,-0.08029527,,,,,,
7.000051,-0.08029527,,,,,,
7.033263,0.00830288,,,,,,
7.066581,0.02282577,,,,,,
7.099925,0.02282577,,,,,,
7.133266,-0.07110262,,,,,,
7.166616,-0.07110262,,,,,,
7.200005,-0.07136965,,,,,,
7.233287,0.08957414,,,,,,
7.266646,0.08957414,,,,,,
7.300012,0.03894563,,,,,,
7.333297,-0.07643285,,,,,,
7.366618,-0.07643285,,,,,,
7.399972,-0.12026505,,,,,,
7.433206,-0.01327986,,,,,,
7.466619,-0.01327986,,,,,,
7.499948,0.04627426,,,,,,
7.533280,0.04627426,,,,,,
7.566715,-0.03752947,,,,,,
7.599934,-0.19980494,,,,,,
7.633264,-0.19980494,,,,,,
7.666662,0.01696320,,,,,,
7.699952,-0.05458308,,,,,,
7.733263,-0.05458308,,,,,,
7.766624,0.06239412,,,,,,
7.799788,-0.06164293,,,,,,
7.833261,-0.06164293,,,,,,
7.866634,0.04720627,,,,,,
7.900064,-0.00821841,,,,,,
7.933294,-0.00821841,,,,,,
7.966588,-0.06790518,,,,,,
7.999933,-0.06790518,,,,,,
8.033261,-0.25776035,,,,,,
8.066624,-0.12705962,,,,,,
8.099974,-0.12705962,,,,,,
8.133282,0.07678436,,,,,,
8.166589,0.04187778,,,,,,
8.199955,0.04187778,,,,,,
8.233276,-0.01194817,,,,,,
8.266623,-0.19753951,,,,,,
8.299977,-0.19753951,,,,,,
8.333278,0.00044192,,,,,,
8.366861,-0.00888338,,,,,,
8.399953,-0.00888338,,,,,,
8.433478,0.03721426,,,,,,
8.466625,0.03721426,,,,,,
8.499929,-0.02020882,,,,,,
8.533261,-0.06444070,,,,,,
8.566583,-0.06444070,,,,,,
8.599961,-0.13025706,,,,,,
8.633224,-0.21432608,,,,,,
8.666620,-0.21432608,,,,,,
8.699982,-0.05791317,,,,,,
8.733280,-0.06310901,,,,,,
8.766596,-0.06310901,,,,,,
8.799928,0.04920467,,,,,,
8.833182,0.03015266,,,,,,
8.866628,0.03015266,,,,,,
8.899952,-0.12812602,,,,,,
8.933575,-0.12812602,,,,,,
8.966618,-0.00262288,,,,,,
8.999956,-0.09281975,,,,,,
9.033320,-0.09281975,,,,,,
9.066598,-0.01194817,,,,,,
9.099972,-0.03100019,,,,,,
9.133328,-0.03100019,,,,,,
9.166625,0.06905605,,,,,,
9.199935,-0.06017860,,,,,,
9.233284,-0.06017860,,,,,,
9.266621,0.00923489,,,,,,
9.299912,-0.01821042,,,,,,
9.333307,-0.01821042,,,,,,
9.366620,0.03628225,,,,,,
9.400611,0.03028530,,,,,,
9.433346,0.03028530,,,,,,
9.466643,-0.04099220,,,,,,
9.499966,-0.04099220,,,,,,
9.533358,0.01016864,,,,,,
9.566572,-0.00568593,,,,,,
9.599963,-0.00568593,,,,,,
9.633303,0.00097599,,,,,,
9.666601,0.00097599,,,,,,
9.699977,0.00097599,,,,,,
9.733314,0.00030927,,,,,,
9.766559,-0.00195617,,,,,,
9.799948,-0.00195617,,,,,,
9.833325,0.00244032,,,,,,
9.866620,-0.00222320,,,,,,
9.899960,-0.00222320,,,,,,
9.933317,0.00124128,,,,,,
9.966599,0.00124128,,,,,,
9.999965,-0.00115680,,,,,,
10.033283,0.00124128,,,,,,
10.066599,0.00124128,,,,,,
10.099974,-0.00115680,,,,,,
10.133277,-0.00009041,,,,,,
10.166586,-0.00009041,,,,,,
10.199955,-0.00142209,,,,,,
10.233274,0.00057631,,,,,,
